NO,SMILES,Target protein,E3 ligase,probability_NonConventional ,probability_Salt,probability_SolidDispersion,probability_Nanocrystal,probability_LipidBasedFormulation,probability_Cyclodextrin
80,CCN(CCCC#CC1=CN(CCC(=O)N[C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)N[C@@H](C)C2=CC=C(C3=C(C)N=CS3)C=C2)C(C)(C)C)N=C1)CCOC1=CC=C(C(=O)C2=C(C3=CC=C(O)C=C3)SC3=CC(O)=CC=C23)C=C1,ER,VHL,0.544804287,0.881942321,0.974137931,0.034482759,0.474137931,0.348387097
81,CCN(CCC#CC1=CN(CC(=O)N[C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)N[C@@H](C)C2=CC=C(C3=C(C)N=CS3)C=C2)C(C)(C)C)N=C1)CCOC1=CC=C(C(=O)C2=C(C3=CC=C(O)C=C3)SC3=CC(O)=CC=C23)C=C1,ER,VHL,0.578261878,0.893500094,0.99137931,0.034482759,0.465517241,0.335483871
82,CCN(CCCCC1=CN(CC(=O)N[C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)N[C@@H](C)C2=CC=C(C3=C(C)N=CS3)C=C2)C(C)(C)C)N=C1)CCOC1=CC=C(C(=O)C2=C(C3=CC=C(O)C=C3)SC3=CC(O)=CC=C23)C=C1,ER,VHL,0.549134425,0.926377364,0.978448276,0.034482759,0.469827586,0.35483871
83,CC/C(=C(\C1=CC=C(O)C=C1)C1=CC=C(OCCN(CC)CCCCCCCC(=O)N[C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)N[C@@H](C)C2=CC=C(C3=C(C)N=CS3)C=C2)C(C)(C)C)C=C1)C1=CC=CC=C1,ER,VHL,0.527775772,0.911593905,0.978448276,0.00862069,0.564655172,0.348387097
84,CC/C(=C(\C1=CC=CC=C1)C1=CC=C(OCCN(CC)CCCCCCCC(=O)N[C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)N[C@@H](C)C2=CC=C(C3=C(C)N=CS3)C=C2)C(C)(C)C)C=C1)C1=CC=CC=C1,ER,VHL,0.513551634,0.923218335,0.978448276,0.004310345,0.577586207,0.348387097
85,CCN(CCCCCCCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)C1=CC=C(C2=C(C)N=CS2)C=C1)C(C)(C)C)CCOC1=CC=C(CN2C(C3=CC=C(O)C=C3)=C(C)C3=CC(O)=CC=C32)C=C1,ER,VHL,0.514748952,0.926049064,0.978448276,0.021551724,0.538793103,0.341935484
86,CCN(CCCCCCCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)C1=CC=C(C2=C(C)N=CS2)C=C1)C(C)(C)C)CCOC1=CC=C([C@@H]2C3=CC=C(O)C=C3CC[C@@H]2C2=CC=CC=C2)C=C1,ER,VHL,0.53989263,0.921880217,0.978448276,0.00862069,0.560344828,0.341935484
87,CCN(CCCCCCCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCC1=CC=C(C2=C(C)N=CS2)C=C1)C(C)(C)C)CCOC1=CC=C(C(=O)C2=C(C3=CC=C(O)C=C3)SC3=CC(O)=CC=C23)C=C1,ER,VHL,0.569467035,0.942721961,0.978448276,0.021551724,0.521551724,0.348387097
88,CCN(CCCCCCCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)C1=CC=C(Cl)C=C1)C(C)(C)C)CCOC1=CC=C(C(=O)C2=C(C3=CC=C(O)C=C3)SC3=CC(O)=CC=C23)C=C1,ER,VHL,0.52611957,0.938915053,0.978448276,0.875,0.504310345,0.348387097
89,CCN(CCCCCCCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)C1=CC=C(C#N)C=C1)C(C)(C)C)CCOC1=CC=C(C(=O)C2=C(C3=CC=C(O)C=C3)SC3=CC(O)=CC=C23)C=C1,ER,VHL,0.557001445,0.936479564,0.995689655,0.568965517,0.49137931,0.348387097
90,C#CC1=CC=C([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCCCCCCN(CC)CCOC2=CC=C(C(=O)C3=C(C4=CC=C(O)C=C4)SC4=CC(O)=CC=C34)C=C2)C(C)(C)C)C=C1,ER,VHL,0.564837329,0.912243086,0.995689655,0.043103448,0.487068966,0.348387097
91,CCN(CCCCCCCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)C1=CC=C(C2CC2)C=C1)C(C)(C)C)CCOC1=CC=C(C(=O)C2=C(C3=CC=C(O)C=C3)SC3=CC(O)=CC=C23)C=C1,ER,VHL,0.562584648,0.948657522,0.978448276,0.012931034,0.504310345,0.322580645
