target,base_group,BCUT2D_MWHI,BCUT2D_MWLOW,SMR_VSA4,SMR_VSA7,SlogP_VSA12,SlogP_VSA7,VSA_EState4,FractionCSP3,NumAliphaticCarbocycles,NumAromaticCarbocycles
1,-1.201850425,-0.501693437,-1.610171789,2.200381154,-1.103557034,-0.554138639,-0.407640853,-0.513212186,1.241995404,2.224234309,-1.130431823
1,-1.201850425,-0.503787869,-1.198757556,0.658897039,-0.526801018,-0.554138639,-0.407640853,0.184936134,0.617605528,1.504629091,-0.148741029
1,-1.201850425,-0.485142795,0.182032053,1.761451696,-0.510392036,-0.554138639,-0.407640853,-0.400892034,0.834498854,-0.654186561,-0.148741029
1,-1.201850425,-0.485145158,0.182032903,1.761451696,-0.510392036,-0.554138639,-0.407640853,-0.402044437,0.762201077,-0.654186561,-0.148741029
1,-1.201850425,-0.512017843,-0.133840763,0.703836188,0.414890049,-0.554138639,-0.407640853,0.352660208,0.396047828,0.065418656,-0.148741029
1,0.832050294,-0.483517323,-1.501897,0.130089286,0.830789539,-0.554138639,-0.407640853,-1.301426222,0.19953578,0.065418656,0.832949764
1,0.832050294,0.761740024,2.341027088,-0.882587075,-1.48364124,2.192779591,-0.407640853,-0.539038522,1.99126326,-0.654186561,-1.130431823
1,-1.201850425,-0.508497122,-0.430833588,-0.882587075,-0.3124604,-0.554138639,-0.407640853,-0.713844628,-1.099466641,-0.654186561,-0.148741029
1,0.832050294,-0.484447221,1.017116053,-0.882587075,-0.7414428,-0.554138639,-0.407640853,0.58131864,0.159719617,-0.654186561,-1.130431823
1,0.832050294,-0.511548944,0.520881319,-0.882587075,-0.526801018,-0.554138639,-0.407640853,0.251232791,0.38866257,-0.654186561,-0.148741029
0,0.832050294,0.548151179,-1.27947142,0.175028433,0.827162304,-0.554138639,-0.407640853,0.569319687,0.051981755,2.224234309,0.832949764
0,0.832050294,0.12979979,0.324267433,-0.370242371,-1.48364124,0.141903027,-0.407640853,0.78217712,1.362640229,-0.654186561,-1.130431823
0,-1.201850425,0.12979979,0.324267433,-0.882587075,-0.510392036,0.179229488,0.656397813,-0.454803119,-1.21393812,-0.654186561,-0.148741029
0,-1.201850425,0.764531714,0.611835856,-0.882587075,-0.180385041,1.510299597,-0.407640853,-0.498089439,-0.63117423,-0.654186561,-0.148741029
0,-1.201850425,-0.504737723,-0.537518125,-0.398718469,1.224915316,-0.554138639,-0.407640853,0.886718861,-0.703219218,0.065418656,-0.148741029
0,0.832050294,6.778644218,0.450044843,-0.882587075,0.487911258,3.466006069,-0.407640853,-0.018603065,-0.481320661,-0.654186561,0.832949764
0,0.832050294,-0.475058043,-0.152422898,1.216180892,1.291811067,-0.554138639,-0.407640853,0.91694857,0.588378766,-0.654186561,-1.130431823
0,0.832050294,-0.47586809,-0.570129019,-0.370242371,0.199289605,-0.554138639,-0.407640853,0.035371199,-0.298166298,0.785023874,0.832949764
0,0.832050294,-0.475870632,-0.564600108,-0.370242371,0.199289605,-0.554138639,-0.407640853,0.180302772,-0.298166298,0.785023874,0.832949764
0,0.832050294,-0.48482814,-0.026539976,-0.882587075,0.371996798,-0.554138639,-0.407640853,0.038055769,-0.006784353,-0.654186561,-0.148741029
0,0.832050294,0.761889273,0.888151804,-0.882587075,1.333325397,3.574737833,5.032413378,-0.126401241,-1.442881073,-0.654186561,0.832949764
0,0.832050294,-0.475874614,-0.560654938,-0.370242371,0.397221241,-0.554138639,-0.407640853,0.278709799,-0.38622128,0.785023874,0.832949764
0,0.832050294,-0.490840411,-0.621828507,-0.353779321,1.815560663,-0.554138639,-0.407640853,0.803990704,-0.326784166,-0.654186561,1.814640558
0,0.832050294,-0.49040441,1.028148046,-0.882587075,-1.115808886,-0.554138639,-0.407640853,2.121044294,0.159719617,-0.654186561,-1.130431823
0,0.832050294,0.761742814,-0.066677848,0.158565383,2.308428335,2.186149241,2.312386264,-0.407070521,0.033800989,-0.654186561,3.778022145
0,0.832050294,-0.473836774,-0.127233689,1.166791742,-1.48364124,-0.554138639,-0.407640853,5.045528017,1.803946298,0.065418656,-1.130431823
0,0.832050294,-0.314412455,-0.268241736,-0.882587075,0.868390422,-0.554138639,-0.407640853,-1.08418183,-1.099466641,-0.654186561,-0.148741029
0,0.832050294,-0.485202584,-0.153575565,0.670910087,-0.748203376,-0.554138639,-0.407640853,2.04334067,0.068142431,0.065418656,-1.130431823
0,0.832050294,0.546953641,0.995258581,-0.882587075,0.471472979,-0.554138639,-0.407640853,-0.60152353,-1.854978393,-0.654186561,-0.148741029
0,0.832050294,0.761745435,0.909433913,-0.882587075,0.411156873,1.510299597,2.312386264,-0.073092389,-1.835354714,-0.654186561,0.832949764
0,0.832050294,0.758860302,0.59563779,-0.436479564,0.083402874,0.549804399,-0.407640853,-0.211630668,-1.246644256,-0.654186561,0.832949764
0,0.832050294,0.761745625,0.742341096,-0.882587075,2.164299242,1.510299597,2.312386264,0.342276048,-0.599062754,-0.654186561,1.814640558
0,0.832050294,-0.486398237,-0.861527605,-0.353779321,1.570281522,-0.554138639,-0.407640853,1.862420415,-0.823059901,0.065418656,-1.130431823
0,0.832050294,0.761670122,0.532017248,-0.436479564,0.626734166,0.478080479,0.952372705,0.31047865,-1.614588291,-0.654186561,0.832949764
0,0.832050294,0.761839376,0.640370279,-0.882587075,0.213225236,1.510299597,2.312386264,0.210451042,-0.337982461,-0.654186561,0.832949764
0,0.832050294,0.761670134,0.981452648,-0.882587075,0.437082441,0.478080479,0.952372705,-0.382954719,-1.614588291,-0.654186561,0.832949764
0,0.832050294,0.76167014,0.836351635,-0.882587075,0.614582333,0.478080479,0.952372705,0.023556201,-1.479029961,-0.654186561,0.832949764
0,0.832050294,0.761670242,0.726095035,-0.882587075,0.230870892,1.504208816,0.952372705,0.199760496,-0.63117423,-0.654186561,0.832949764
