target,base_group,MaxEStateIndex,MinEStateIndex,MinAbsEStateIndex,BCUT2D_MWHI,BCUT2D_MRLOW,HallKierAlpha,PEOE_VSA1,PEOE_VSA10,PEOE_VSA12,PEOE_VSA2,PEOE_VSA3,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,SMR_VSA1,SMR_VSA3,SMR_VSA6,SlogP_VSA1,SlogP_VSA10,SlogP_VSA3,EState_VSA2,VSA_EState1,VSA_EState4,VSA_EState5,VSA_EState8,NumAliphaticHeterocycles,NumAromaticHeterocycles,RingCount,MolLogP,fr_Ar_NH,fr_NH1,fr_allylic_oxid,fr_ether,fr_imidazole,fr_methoxy
1,-1.213559752,-0.729282956,0.344143039,0.748230789,-0.631887029,-0.297746,0.52379813,-0.809294389,-0.9463765,-0.49763767,-1.079724628,-0.196043338,-0.313732335,0.833796692,0.099190599,-0.735856666,-0.805428631,-0.947097336,-0.985439939,-0.698919335,-0.767869833,-0.936744117,-0.780950478,1.021078748,-0.208264196,1.033762154,-0.841737232,-0.763505675,-1.286329094,0.660302158,-0.31741701,-0.708925369,3.686888828,-0.742621893,-0.250789598,-0.422158527
1,-1.213559752,-0.668637035,0.81383026,0.244873074,-0.621074863,0.235458324,0.787336859,-0.443462001,0.50265294,-0.49763767,-1.079724628,-0.767615937,-0.313732335,-0.09276266,0.355706809,-0.739871322,-0.805428631,-0.947097336,-0.362164971,-0.698919335,-0.624487904,-0.52120542,-0.509279864,0.485617801,0.945740727,0.660500012,0.22813439,-0.763505675,-0.238779652,0.71963829,-0.31741701,-0.708925369,0.454919984,0.005500903,-0.250789598,-0.422158527
1,0.824022054,-0.10677774,0.789890749,0.473594997,0.842257031,0.587458915,0.185927965,-0.459419278,-0.9463765,-0.49763767,-0.443852908,-0.196043338,-0.313732335,-0.174273198,0.469295039,-0.761588706,0.074083574,0.358533825,-0.985439939,-0.165630761,0.359233205,-0.890571033,-0.560981976,1.794914285,0.147934156,-0.366868269,0.22813439,0.518429779,0.284995069,0.341882733,-0.31741701,-0.708925369,-0.468499685,0.005500903,-0.250789598,-0.422158527
1,-1.213559752,-0.936588134,0.58527444,0.336483349,-0.638308018,0.419621084,1.179266251,-0.414912468,-0.9463765,-0.49763767,-1.079724628,-0.767615937,-0.313732335,0.879914076,1.585562855,-0.714139282,-0.805428631,-0.947097336,-0.985439939,-0.698919335,-1.190581857,-0.889840819,-0.780950478,0.6695708,1.028953599,1.507716583,-0.841737232,-0.763505675,-0.238779652,1.164258363,-0.31741701,-0.708925369,1.378339654,-0.742621893,-0.250789598,-0.422158527
1,0.824022054,-0.571367017,0.27667472,0.035247575,0.842345143,0.457326245,0.381892661,-0.468153662,-0.478901241,0.212746151,-1.079724628,0.398113189,-0.313732335,-0.410363403,-0.586477215,-0.428382396,-0.361932122,-0.947097336,-0.985439939,-0.698919335,-1.190581857,-0.926637361,-0.543411329,-0.072979406,-0.11683894,-1.081850873,-0.841737232,0.518429779,-0.238779652,0.169041747,-0.31741701,-0.708925369,-0.468499685,-0.742621893,-0.250789598,-0.422158527
1,-1.213559752,-0.898738077,0.546999244,1.729651915,-0.638080799,0.519172633,1.179266251,-0.414912468,-0.9463765,-0.49763767,-1.079724628,-0.767615937,-0.313732335,1.448210274,0.851610134,-0.714139282,-0.805428631,-0.947097336,-0.985439939,-0.698919335,-1.190581857,-1.305379516,-0.780950478,0.625277054,1.396755592,1.650928484,-0.841737232,-0.763505675,-0.238779652,1.100066646,-0.31741701,-0.708925369,0.916629819,-0.742621893,-0.250789598,-0.422158527
1,0.824022054,-0.769752476,1.063797644,0.469205783,-0.640298256,0.835884356,0.54407034,-0.809294389,-0.459173247,-0.49763767,-0.45457867,-0.767615937,-0.313732335,0.549719469,0.188111463,-1.069600484,-0.369412935,-0.513259672,-0.985439939,-0.698919335,-1.190581857,-0.902507218,-0.780950478,0.497674416,0.386962662,1.311275552,-0.841737232,-0.763505675,-0.762554373,0.543955228,-0.31741701,-0.708925369,-0.468499685,-0.742621893,-0.250789598,-0.422158527
1,-1.213559752,-0.893665805,0.540597194,1.512831428,-0.638080675,0.519531575,1.003573765,-0.414912468,-0.9463765,-0.49763767,-1.079724628,-0.767615937,-0.313732335,1.440990649,1.052520332,-0.714139282,-0.805428631,-0.947097336,-0.985439939,-0.698919335,-1.190581857,-1.305379516,-0.780950478,0.589462787,1.468392539,2.076109319,-0.841737232,-0.763505675,-0.238779652,1.109866908,-0.31741701,-0.708925369,1.840049489,-0.742621893,-0.250789598,-0.422158527
1,-1.213559752,-0.480436276,0.867824256,-0.270994226,-0.61900168,-0.341834456,0.52379813,-0.837843922,-0.9463765,-0.49763767,-0.468022432,-0.767615937,-0.313732335,1.309858122,-0.061234139,-0.761588706,-0.805428631,-0.509141503,-0.985439939,-0.698919335,-0.350242676,-0.89900812,-0.572452268,-0.643985432,0.111729819,-0.200245561,-0.841737232,-0.763505675,-1.810103816,1.047234324,-0.31741701,-0.708925369,4.148598663,0.005500903,-0.250789598,-0.422158527
1,-1.213559752,0.88182938,-1.185487388,-0.601591099,-0.406794818,-1.144437199,1.030603379,-0.049080082,-0.456314764,0.20025111,0.143679764,0.279175795,-0.313732335,-0.046645276,-0.749333502,0.894303927,-0.805428631,-0.947097336,-0.985439939,0.277758117,0.072469348,1.205397669,0.682220753,-0.643985432,-2.514824678,-0.722210034,0.22813439,-0.763505675,-0.762554373,0.084447666,-0.31741701,-0.708925369,-0.468499685,0.005500903,-0.250789598,-0.422158527
1,-1.213559752,-0.941459138,0.817222399,0.212464036,-0.639491783,0.544576182,1.206295865,-0.809294389,-0.9463765,-0.49763767,-1.079724628,-0.767615937,-0.313732335,1.663734796,1.098373693,-1.069600484,-0.805428631,-0.947097336,-0.985439939,-0.698919335,-1.190581857,-0.889840819,-0.780950478,0.897172836,1.463486079,1.702938612,-0.841737232,-0.763505675,-0.238779652,1.558540726,-0.31741701,-0.708925369,1.378339654,-0.742621893,-0.250789598,-0.422158527
1,0.824022054,0.290883674,0.317059877,0.202175393,0.842257023,-0.315635612,-0.124912588,-0.443462001,-0.459173247,-0.49763767,0.726364761,-0.767615937,-0.313732335,-0.858997913,0.043407502,-0.072383686,-0.399027852,-0.475804324,-0.362164971,-0.698919335,-0.201775879,-0.466128234,-0.491822545,0.115816638,-0.079774892,-0.736178751,-0.841737232,0.518429779,-0.238779652,-0.085978892,-0.31741701,-0.708925369,-0.468499685,0.005500903,-0.250789598,0.773957299
