target,acid_group,base_group,MaxEStateIndex,qed,MolWt,BalabanJ,HallKierAlpha,PEOE_VSA11,PEOE_VSA3,PEOE_VSA4,PEOE_VSA6,PEOE_VSA7,SMR_VSA2,SMR_VSA7,SMR_VSA9,SlogP_VSA11,SlogP_VSA7,EState_VSA11,EState_VSA8,EState_VSA9,VSA_EState4,VSA_EState5,VSA_EState9,NHOHCount,NumAromaticHeterocycles,NumRotatableBonds,RingCount,MolLogP,fr_Al_COO,fr_Al_OH,fr_NH1,fr_NH2,fr_Ndealkylation2,fr_alkyl_carbamate,fr_aniline,fr_aryl_methyl,fr_ether,fr_ketone,fr_methoxy,fr_para_hydroxylation,fr_piperzine,fr_pyridine,fr_sulfonamd
1,-1.605910137,0.824022054,0.527113396,0.741679126,-0.156765428,0.173516055,0.064294705,0.30065074,-0.767615937,-0.440614002,-0.369232037,-0.330970881,-0.204210988,0.049991126,0.020164307,0.451673954,-0.434314115,-0.254210831,-1.084652684,0.003612897,-0.072925256,0.168554561,2.087818921,-1.210207945,-0.763505675,-0.012401546,-0.238779652,-0.334914458,-0.344657911,-0.536782631,-0.708925369,-0.255488065,-0.292279208,-0.266206953,0.730769231,-0.432472449,0.753623699,-0.441941738,0.773957299,2.133521167,-0.281718085,-0.410256665,-0.338753743
1,0.622699849,0.824022054,-2.560637522,1.330398237,-0.95832767,0.182510961,0.814366473,0.278463519,-0.767615937,1.03769713,-0.858997913,-1.410278744,-0.204210988,-1.258287422,-0.657124366,-0.525833016,1.598826814,-0.254210831,0.094551121,0.236667522,0.13837669,0.436201265,-0.204615931,0.178722692,0.518429779,-1.217123178,-0.238779652,-1.071136875,-0.344657911,-0.536782631,1.044053725,-0.255488065,-0.292279208,-0.266206953,0.730769231,-0.432472449,-0.742621893,-0.441941738,-0.422158527,-0.304788738,-0.281718085,-0.410256665,-0.338753743
1,0.622699849,0.824022054,-0.404854621,-0.451548974,-0.656567342,-0.314050347,-0.59793082,-0.637153716,0.401085654,0.421555724,-1.307632422,-0.998377979,-0.204210988,-0.014525644,0.676799841,-0.525833016,-0.434314115,-0.254210831,-0.580605365,-0.55037847,-0.427278699,0.329398327,-0.204615931,-0.515742626,0.518429779,-0.494290199,-0.238779652,-1.060133854,-0.344657911,-0.536782631,0.167564178,-0.255488065,-0.292279208,-0.266206953,-0.576923077,-0.432472449,-0.742621893,-0.441941738,-0.422158527,-0.304788738,-0.281718085,-0.410256665,-0.338753743
1,0.622699849,0.824022054,-0.76808701,0.860428322,-0.800690934,-0.150723095,0.733277633,1.129539439,-0.767615937,-0.440614002,-0.603085524,-0.529927878,-0.204210988,-0.611699121,0.697452982,1.429180925,-0.434314115,-0.254210831,-0.212644894,-0.515351263,0.104451077,0.612222109,0.700706561,0.178722692,-0.763505675,-1.458067504,0.80876979,-1.301754861,-0.344657911,0.536782631,-0.708925369,-0.255488065,2.045954459,-0.266206953,-0.576923077,-0.432472449,0.005500903,-0.441941738,-0.422158527,-0.304788738,-0.281718085,-0.410256665,-0.338753743
1,0.622699849,-1.213559752,0.390553156,0.899666698,-0.076942671,-0.597068864,0.854910893,2.966832588,-0.767615937,-0.440614002,0.194442753,0.082116846,-0.204210988,-1.02291155,-0.657124366,-0.525833016,-0.434314115,-0.254210831,-0.079711579,0.003612897,-0.986146315,0.158647056,-0.204615931,0.178722692,-0.763505675,-0.494290199,0.80876979,-0.62522495,-0.344657911,1.610347894,-0.708925369,-0.255488065,-0.292279208,-0.266206953,-0.576923077,-0.432472449,0.753623699,2.563262082,-0.422158527,-0.304788738,-0.281718085,-0.410256665,-0.338753743
1,0.622699849,-1.213559752,-0.008448809,1.205109502,-0.515893066,-0.223381768,0.935999732,1.13990485,-0.767615937,-0.440614002,-0.321621434,0.919905147,-0.204210988,-1.040723437,-0.657124366,-0.525833016,-0.434314115,-0.254210831,0.214255017,-1.034315424,-0.297181253,0.719182354,-0.204615931,-0.515742626,-0.763505675,-1.217123178,0.284995069,-0.05159779,-0.344657911,0.536782631,-0.708925369,-0.255488065,-0.292279208,-0.266206953,-0.576923077,-0.432472449,-0.742621893,2.563262082,-0.422158527,-0.304788738,-0.281718085,-0.410256665,-0.338753743
1,0.622699849,0.824022054,-0.313280707,0.447795662,-1.153253905,1.889683134,0.70624802,1.07804814,-0.196043338,0.401709489,-1.307632422,-1.428332915,-0.204210988,-0.940725603,-0.657124366,-0.525833016,1.704459498,-0.254210831,-0.602388579,0.236667522,-0.758711301,0.147934156,1.00798773,-0.515742626,1.800365233,-1.458067504,-0.762554373,-2.007551919,-0.344657911,-0.536782631,0.167564178,-0.255488065,-0.292279208,-0.266206953,-0.576923077,1.528069319,-0.742621893,-0.441941738,-0.422158527,-0.304788738,-0.281718085,-0.410256665,-0.338753743
1,-1.605910137,0.824022054,-0.417663781,0.236065317,-0.990438211,1.456395893,0.787336859,1.769080424,1.374512967,-0.440614002,-1.039875889,-1.655035354,-0.204210988,-1.08190247,-0.657124366,-0.525833016,-0.434314115,-0.254210831,-0.843520632,-1.034315424,-0.643985432,0.222986516,-1.498038052,-1.210207945,0.518429779,-0.253345873,-1.286329094,-1.59740204,-0.344657911,-0.536782631,-0.708925369,-0.255488065,-0.292279208,-0.266206953,-0.576923077,1.528069319,-0.742621893,-0.441941738,-0.422158527,-0.304788738,-0.281718085,-0.410256665,-0.338753743
1,0.622699849,-1.213559752,0.030713276,0.828835893,-0.416266649,-0.318640504,1.057632992,1.13990485,-0.767615937,-0.440614002,-0.556594835,0.478569343,-0.204210988,-1.453303403,-0.657124366,-0.525833016,-0.434314115,-0.254210831,-0.749672316,-1.034315424,-1.046605253,0.202573401,-0.204615931,0.873188011,-0.763505675,-0.976178852,0.284995069,-1.041825182,-0.344657911,2.683913156,-0.708925369,-0.255488065,-0.292279208,-0.266206953,-0.576923077,-0.432472449,-0.742621893,2.563262082,-0.422158527,-0.304788738,-0.281718085,-0.410256665,-0.338753743
1,0.622699849,-1.213559752,0.902480484,-1.59344563,2.553405094,-0.37738567,-0.543871593,0.251375567,-0.196043338,-0.440614002,1.440990649,1.808914708,-0.204210988,-0.179939731,-0.657124366,-0.525833016,-0.434314115,-0.254210831,-1.084652684,2.07946954,-0.230686737,-2.960569827,1.692098466,0.873188011,-0.763505675,0.710431433,0.284995069,0.925176514,-0.344657911,2.683913156,-0.708925369,-0.255488065,-0.292279208,-0.266206953,-0.576923077,-0.432472449,3.746114882,4.065863992,3.166188951,-0.304788738,-0.281718085,-0.410256665,-0.338753743
