target,acid_group,base_pKa,MaxEStateIndex,qed,MolWt,FpDensityMorgan1,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BalabanJ,PEOE_VSA11,PEOE_VSA3,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA9,SMR_VSA9,SlogP_VSA4,EState_VSA3,EState_VSA5,EState_VSA8,VSA_EState8,FractionCSP3,NHOHCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumRotatableBonds,RingCount,MolLogP,fr_Al_OH,fr_Ar_NH,fr_Ar_OH,fr_NH1,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_bicyclic,fr_ether,fr_ketone,fr_methoxy,fr_piperdine
1,-1.605910137,0.278252175,0.118960552,0.630470518,-0.728823536,0.504233441,0.842257006,0.427605459,-0.665914472,0.504904711,0.259422361,-0.172454894,-0.313732335,-0.155197623,-0.792427597,-0.338205806,-0.657124366,-0.609763351,-0.22020248,-1.09454844,-0.585879076,-1.047524911,-1.388474813,-0.515742626,-0.641821345,0.22813439,-1.217123178,-0.238779652,-0.521030345,-0.536782631,-0.31741701,-0.2786656,0.167564178,-0.266206953,-0.363177581,-0.468499685,-0.197345367,-0.742621893,-0.441941738,-0.422158527,-0.2786656
1,0.622699849,0.377760145,0.163239714,1.144381321,-0.501213534,0.589285731,0.588098448,0.96818444,-1.089664843,-0.064729501,0.155073633,-0.173459411,-0.313732335,-1.307632422,-0.940163333,2.214069168,0.697452982,0.113043124,-0.931159458,-1.09454844,-0.361256527,-0.318345936,-0.678203709,-0.515742626,-0.641821345,-0.841737232,-0.253345873,-0.238779652,-0.543731316,-0.536782631,1.954620538,-0.2786656,0.167564178,-0.266206953,-0.363177581,-0.468499685,-0.197345367,0.753623699,-0.441941738,1.970073125,-0.2786656
1,-1.605910137,1.671363758,-2.820579316,1.17408678,-0.870170727,0.787741076,-0.62412599,-1.608308549,0.875725887,-0.099263746,-0.637153716,-0.767615937,-0.313732335,-0.576417019,0.501777236,-0.62977844,0.020164307,-0.550312953,-0.915053904,1.413607033,0.373887214,-0.832424182,0.886451478,-1.210207945,0.850276141,0.22813439,-1.217123178,0.284995069,-0.328277008,-0.536782631,-0.31741701,-0.2786656,-0.708925369,-0.266206953,-0.363177581,-0.468499685,-0.197345367,0.005500903,-0.441941738,0.773957299,2.428371657
1,0.622699849,-0.959744043,-0.574085615,0.923579746,-0.745526799,0.679492706,-0.637937817,-1.567873077,1.305034675,-0.339166752,-0.637153716,-0.767615937,0.879116353,-0.576319245,0.878108822,-1.130382703,1.474253886,1.430383769,0.211678322,-0.475329515,-0.169733617,-0.643901604,0.606460549,0.178722692,1.596324885,-0.841737232,-1.458067504,0.284995069,-0.226176096,0.536782631,-0.31741701,2.428371657,-0.708925369,-0.266206953,-0.363177581,-0.468499685,1.828237268,-0.742621893,-0.441941738,-0.422158527,-0.2786656
1,-1.605910137,-0.959744043,-0.116037356,1.350181583,-0.656043963,-0.835984455,0.590446064,0.267454894,-0.509817962,0.227698483,0.874227448,0.80747002,-0.313732335,0.334568252,-1.032525486,-0.393284388,-0.657124366,-1.04538138,-0.905204842,-0.746411077,-1.084652684,-1.043160107,-1.419356165,-1.210207945,-0.641821345,0.22813439,-0.735234525,-0.238779652,-0.696098663,-0.536782631,-0.31741701,-0.2786656,-0.708925369,-0.266206953,-0.363177581,-0.468499685,-0.703741026,0.005500903,-0.441941738,-0.422158527,-0.2786656
1,0.622699849,1.118216512,-0.741219131,0.862782133,-0.284529691,-0.40299098,0.842257031,0.244717761,-0.554952798,-0.481577227,-0.637153716,-0.196043338,-0.313732335,0.783202762,-1.032525486,-0.23978005,-0.657124366,-1.04538138,-0.840809943,-0.475329515,1.150474089,-0.14298761,-0.313509643,-0.515742626,-0.641821345,0.22813439,0.469487107,-0.238779652,-0.433050719,-0.536782631,-0.31741701,-0.2786656,-0.708925369,-0.266206953,-0.363177581,-0.468499685,-0.703741026,0.005500903,-0.441941738,-0.422158527,-0.2786656
1,0.622699849,1.557222263,0.917865546,1.669211299,-0.631250757,1.253679706,-0.417857134,0.793638652,-0.892746549,0.461554374,-0.637153716,0.327352529,-0.313732335,-1.307632422,-1.175221038,-0.341497551,-0.657124366,-0.558735876,0.668589738,-0.749690323,-0.827418801,-0.041816749,-0.338508833,0.178722692,-0.641821345,0.22813439,-0.735234525,-0.238779652,-1.270483115,-0.536782631,-0.31741701,-0.2786656,0.167564178,-0.266206953,-0.363177581,-0.468499685,-0.197345367,-0.742621893,-0.441941738,-0.422158527,-0.2786656
1,0.622699849,0.131916924,-0.248570019,1.146204529,-0.457523859,-0.195907143,0.842345207,0.821916534,-1.269176794,0.356893305,0.377917952,-0.196043338,-0.313732335,0.528036983,-1.015451733,0.42945409,-0.657124366,-1.04538138,0.428466798,-1.09454844,-0.598242555,-1.212706926,-1.388474813,0.178722692,-0.641821345,-0.841737232,-0.012401546,-0.762554373,-0.09489713,-0.536782631,-0.31741701,-0.2786656,0.167564178,-0.266206953,-0.363177581,-0.468499685,-0.703741026,0.005500903,-0.441941738,-0.422158527,-0.2786656
1,-1.605910137,2.42645365,0.1517207,-0.816812553,-0.181892599,-0.720519529,-0.617710948,-0.357858685,-0.417317617,-0.58967471,0.278463519,-0.196043338,-0.313732335,0.334568252,-0.148556108,-0.713700093,0.020164307,-0.055244525,0.323868901,-1.09454844,-0.843112959,-0.935947964,-0.45263557,1.567653329,0.104227398,-0.841737232,0.22854278,-0.238779652,-0.486239414,-0.536782631,-0.31741701,-0.2786656,-0.708925369,-0.266206953,-0.363177581,-0.468499685,-0.703741026,0.753623699,-0.441941738,-0.422158527,-0.2786656
1,0.622699849,1.387473372,-0.299986423,0.8782684,-0.164646018,0.277427338,0.842257078,0.627246462,-0.751085296,-1.133859225,-0.637153716,-0.767615937,-0.313732335,-0.155197623,-0.217068516,-0.347365944,-0.657124366,-1.04538138,-0.852399804,-0.533248379,1.325806561,-0.092907158,-0.513503164,-0.515742626,-0.641821345,1.298006011,-0.494290199,0.80876979,-0.138686483,-0.536782631,-0.31741701,-0.2786656,0.167564178,-0.266206953,-0.363177581,-0.468499685,0.309050292,-0.742621893,-0.441941738,-0.422158527,-0.2786656
