target,acid_pka,MaxEStateIndex,MinEStateIndex,qed,MolWt,BCUT2D_CHGHI,HallKierAlpha,PEOE_VSA11,PEOE_VSA14,PEOE_VSA8,PEOE_VSA9,SlogP_VSA12,SlogP_VSA7,EState_VSA2,EState_VSA9,VSA_EState1,VSA_EState4,VSA_EState5,fr_Ndealkylation1,fr_aryl_methyl,fr_ester,fr_ether
1,-0.89690316,0.230320266,0.358328964,-0.180040993,-0.574474717,1.563441883,0.11773201,-0.207896592,-0.101858628,0.345390301,0.33566414,-0.554138639,-0.407640853,1.002241876,0.457669792,-0.13618531,2.04334067,0.089252659,-0.371390676,-0.326796751,-0.461083968,0.260951794
0,-0.412395509,1.281080377,-0.280501437,-1.295179659,1.96510526,0.24822208,-1.81018538,0.493616734,0.203292493,0.496016654,0.844673629,-0.554138639,-0.407640853,1.862212211,-0.035166282,0.286678677,-0.400892034,-2.158990341,1.671258044,-0.326796751,1.793104319,0.739363415
0,-0.421258454,1.277208451,-0.289684049,-1.345490807,1.958524895,0.248452761,-1.958486718,0.493616734,0.203292493,0.87345753,0.844673629,-0.554138639,-0.407640853,1.862212211,-0.035166282,0.285658158,-0.402044437,-2.42977115,1.671258044,-0.326796751,1.793104319,0.739363415
0,-0.111055384,0.519322354,-0.020868226,-0.105383737,0.255349698,0.740771289,-0.362968877,3.190608921,-0.108328506,-0.690746675,1.330235042,-0.554138639,-0.407640853,0.77993046,2.045962894,2.534101352,-0.051759351,0.168667228,-0.371390676,-0.326796751,0.666010175,3.609833145
0,-0.114009699,0.565552135,-0.048883364,-0.483488169,0.477632838,0.753223467,-0.516384054,3.190608921,-0.108328506,-0.690746675,1.631492503,0.454576796,-0.407640853,0.77993046,2.045962894,2.602472924,-0.055058162,0.15358502,-0.371390676,-0.326796751,0.666010175,3.609833145
0,-1.517309298,-0.336143913,-1.786795356,-0.071160095,0.17223343,-0.928789246,0.133073528,-0.859634106,-0.419949506,1.325412175,-0.033549788,1.504208816,0.952372705,-0.036643413,0.107116491,1.241656724,0.199760496,0.722609,-0.371390676,-0.326796751,-0.461083968,-0.69587145
0,-0.196730518,1.131082754,-0.271799588,-1.719980893,2.281876686,-0.047026875,-3.303426436,-0.181193048,-0.419949506,2.404470791,0.04376173,-0.554138639,-0.407640853,4.203971126,-0.25979281,-0.842541982,1.305332252,-1.515237661,0.649933684,-0.326796751,-0.461083968,-0.69587145
0,1.100213743,0.244825613,0.199056875,-1.10072055,0.637523287,0.228144693,-0.889694318,-0.859634106,-0.122922727,1.288334842,0.335967852,1.510299597,2.312386264,0.075259068,1.663781926,0.707754753,0.342276048,0.323511488,-0.371390676,-0.326796751,-0.461083968,0.739363415
0,-2.512913434,1.906800788,-2.720659921,-1.689856036,4.064832272,0.575789104,-3.328995632,2.548177036,0.288199889,1.296211444,2.177511286,2.186149241,2.312386264,0.966203046,3.124191983,2.526927077,-0.407070521,-3.874107059,0.649933684,-0.326796751,-0.461083968,2.17459828
0,-1.771380383,0.501931269,-1.277478004,-0.761088697,-0.162852691,1.389480633,-0.322058164,0.436364373,-0.419949506,-1.335964591,1.408310977,-0.554138639,-0.407640853,-0.65012672,-0.655885401,-0.842541982,-0.994200411,-2.007731895,0.649933684,-0.326796751,-0.461083968,-0.69587145
