target,FpDensityMorgan1,BCUT2D_MWHI,SMR_VSA4,SlogP_VSA10,SlogP_VSA12,SlogP_VSA7,SlogP_VSA8,EState_VSA4,FractionCSP3,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumSaturatedRings,fr_Ar_OH,fr_Ndealkylation2,fr_bicyclic,fr_ester,fr_ether,fr_lactone
1,0.016397574,0.758860302,-0.436479564,-0.611193724,0.549804399,-0.407640853,1.13560796,0.261043858,-1.246644256,-0.654186561,-0.18025253,-0.625221626,-1.028284325,-0.489009647,-0.348366507,-0.401748307,-0.461083968,-0.69587145,-0.322873202
1,0.63825345,-0.497459524,0.175028433,-0.611193724,-0.554138639,-0.407640853,-0.405774738,1.4390684,1.16706862,0.065418656,-0.841178475,-0.625221626,-0.22985179,-0.489009647,-0.348366507,-0.764972804,-0.461083968,-0.69587145,-0.322873202
1,0.523345297,0.546953641,-0.882587075,0.507013398,-0.554138639,-0.407640853,0.418279064,-0.691527879,-1.854978393,-0.654186561,-0.18025253,-0.625221626,-1.028284325,-0.489009647,-0.348366507,-0.401748307,-0.461083968,-0.69587145,-0.322873202
1,-1.589635155,0.761742814,0.158565383,-0.611193724,2.186149241,2.312386264,1.186325317,3.028336883,0.033800989,-0.654186561,3.785303139,2.548980476,0.568580744,3.912077175,-0.348366507,4.683394647,-0.461083968,2.17459828,-0.322873202
1,1.959697181,0.12979979,-0.882587075,-0.611193724,0.179229488,0.656397813,-0.405774738,-0.664804856,-1.21393812,-0.654186561,-0.841178475,-1.15425531,-1.028284325,-0.489009647,-0.348366507,-0.764972804,-0.461083968,-0.69587145,-0.322873202
1,0.462060952,-0.314412455,-0.882587075,1.920351051,-0.554138639,-0.407640853,-0.405774738,0.22984839,-1.099466641,-0.654186561,-0.841178475,-1.15425531,-1.028284325,-0.489009647,-0.348366507,-0.764972804,-0.461083968,-0.69587145,-0.322873202
1,0.246714566,0.761670242,-0.882587075,1.600142624,1.504208816,0.952372705,1.037407669,2.137754169,-0.63117423,-0.654186561,0.480673415,-0.096187942,-0.22985179,-0.489009647,-0.348366507,-0.03852381,-0.461083968,-0.69587145,-0.322873202
1,0.596302853,0.761670125,-0.436479564,0.481935502,0.478080479,0.952372705,-0.405774738,0.089332026,-1.614588291,-0.654186561,-0.18025253,-0.625221626,-1.028284325,-0.489009647,-0.348366507,-0.401748307,-0.461083968,-0.69587145,-0.322873202
1,0.418012828,0.761670122,-0.436479564,0.481935502,0.478080479,0.952372705,-0.405774738,0.133375657,-1.614588291,-0.654186561,-0.18025253,-0.625221626,-1.028284325,-0.489009647,-0.348366507,-0.401748307,-0.461083968,-0.69587145,-0.322873202
1,0.140318132,0.761670134,-0.882587075,3.340434486,0.478080479,0.952372705,-0.405774738,-0.886436776,-1.614588291,-0.654186561,-0.841178475,-1.15425531,-1.028284325,-0.489009647,-0.348366507,-0.764972804,-0.461083968,-0.69587145,-0.322873202
1,0.176796908,0.761742042,-0.436479564,0.481935502,1.510299597,2.312386264,-0.405774738,-0.886436776,-1.854978393,-0.654186561,-0.18025253,-0.625221626,-1.028284325,-0.489009647,-0.348366507,-0.401748307,-0.461083968,-0.69587145,-0.322873202
1,1.830143873,-0.484447221,-0.882587075,0.507013398,-0.554138639,-0.407640853,-0.405774738,-0.67967169,0.159719617,-0.654186561,-0.18025253,-0.625221626,-0.22985179,-0.489009647,-0.348366507,-0.764972804,-0.461083968,-0.217459828,-0.322873202
1,-0.242709038,-0.508497122,-0.882587075,0.310327774,-0.554138639,-0.407640853,-0.405774738,-0.886436776,-1.099466641,-0.654186561,-0.18025253,-0.625221626,-0.22985179,-0.489009647,-0.348366507,-0.764972804,-0.461083968,-0.69587145,-0.322873202
