target,acid_group,acid_pka,base_group,base_pKa,MinEStateIndex,MinAbsEStateIndex,MaxPartialCharge,FpDensityMorgan1,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGLO,BCUT2D_MRLOW,BalabanJ,PEOE_VSA10,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA3,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,SMR_VSA10,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA11,EState_VSA2,EState_VSA4,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState4,VSA_EState5,VSA_EState8,VSA_EState9,FractionCSP3,RingCount,MolLogP,fr_Al_COO,fr_ArN,fr_Ndealkylation1,fr_Ndealkylation2,fr_allylic_oxid,fr_imide,fr_lactone,fr_nitro,fr_piperdine,fr_sulfonamd,fr_urea
1,0.526651041,-2.058835312,-1.966868432,-1.510485018,-1.838918038,0.276260332,0.870920166,1.951792785,0.527698781,1.602052184,1.968671791,0.992693797,0.798587872,-0.808355344,-0.386030685,-0.551164483,0.77448898,-0.811173086,-1.090978139,-1.244838477,-1.221001131,-0.67171942,-1.045146143,-1.643240709,-0.684206917,-0.558910617,-0.595579755,-1.142633627,-0.930184919,-0.738890583,-0.057938172,-0.801134035,-0.19501829,-0.487241173,-1.754818917,2.44774644,-1.271516173,-1.168064638,-0.299940983,-0.293384409,-0.334072344,-0.369080422,-0.205891311,-0.171636676,-0.15896779,-0.146910632,-0.342082159,-0.270247899,-0.220021539
1,0.526651041,0.078470819,0.508422416,1.08911868,-2.449352349,-0.262667767,1.601306699,-0.311232897,-0.373835557,-0.063749908,0.292205223,-0.486468286,-0.870372874,0.088168187,-0.386030685,1.043886772,0.490057366,0.500036854,0.214431228,1.611810518,-0.467471359,-0.455931185,-0.331156266,2.475802548,0.926695536,-0.558910617,0.229705032,0.130234208,-0.604342415,0.085714573,-0.459096916,0.877506937,-0.328177594,-0.687792757,-0.20125112,-0.80902,1.247860058,1.324214938,-0.299940983,-0.293384409,-0.334072344,-0.369080422,-0.205891311,-0.171636676,-0.15896779,-0.146910632,-0.342082159,-0.270247899,-0.220021539
1,-1.898790511,0.866821442,0.508422416,1.776403285,0.996688928,0.483443839,-2.294940885,-1.356930352,-0.727824788,-1.225775722,-1.73219066,-0.045172405,-0.143078873,-0.808355344,-0.386030685,-0.551164483,-0.747546967,-0.811173086,-1.090978139,0.727896676,-0.890043695,-1.081611047,-1.045146143,-1.643240709,-0.684206917,-0.558910617,-1.021925143,-0.163804115,-0.930184919,-0.967787694,-0.459096916,0.923598411,1.107061314,-0.902980637,-0.20125112,2.44774644,0.618016,-0.305465328,-0.299940983,-0.293384409,-0.334072344,-0.369080422,-0.205891311,-0.171636676,-0.15896779,-0.146910632,-0.342082159,-0.270247899,-0.220021539
1,-1.898790511,0.866821442,0.508422416,0.999972977,1.085987134,1.073633146,-2.3387342,0.208887922,-0.731731759,0.391734558,1.931203065,3.048052477,0.287252019,-0.808355344,-0.386030685,-0.551164483,-0.747546967,-0.811173086,0.214431228,-1.04256687,-0.506391892,-1.081611047,-1.045146143,-0.326115767,-0.684206917,-0.558910617,-1.021925143,-1.142633627,-0.604342415,0.204780657,-0.459096916,1.047452003,0.299126558,-0.902980637,-0.20125112,-0.384224377,-0.641672115,-0.483018812,-0.299940983,-0.293384409,-0.334072344,-0.369080422,-0.205891311,-0.171636676,-0.15896779,-0.146910632,-0.342082159,-0.270247899,-0.220021539
1,0.526651041,0.373789465,0.508422416,1.031605323,0.426544622,0.084104075,-1.572688368,0.507139022,-0.614580635,0.17497839,0.75910199,0.432081843,1.207421359,-0.808355344,-0.386030685,-0.551164483,-0.747546967,-0.811173086,0.214431228,-1.022465137,-0.859993886,-1.081611047,-1.045146143,-0.326115767,-0.684206917,-0.558910617,-0.599919056,-0.835899541,0.699027604,-0.967787694,-0.459096916,0.864749211,0.079472066,-0.446240957,-0.20125112,-0.384224377,-1.271516173,-0.669736069,-0.299940983,-0.293384409,-0.334072344,-0.369080422,-0.205891311,-0.171636676,-0.15896779,-0.146910632,-0.342082159,-0.270247899,-0.220021539
1,-1.898790511,0.866821442,0.508422416,0.775670889,1.358767322,2.876490741,-2.317264008,0.208887922,-0.696363328,0.454525238,1.727383385,2.228994025,0.650534433,-0.808355344,-0.386030685,-0.551164483,-0.747546967,-0.811173086,0.214431228,-1.04256687,-0.829944076,-1.081611047,-0.651193263,-0.326115767,-0.684206917,-0.558910617,-1.021925143,-0.427792358,0.047342595,-0.119315656,-0.448308428,0.22415313,1.801518263,-0.689252465,-0.20125112,-0.738220728,-1.271516173,-0.83098406,-0.299940983,-0.293384409,-0.334072344,-0.369080422,-0.205891311,-0.171636676,-0.15896779,-0.146910632,-0.342082159,-0.270247899,-0.220021539
1,-1.898790511,0.866821442,0.508422416,1.345053114,0.96312991,0.261645727,-1.506454034,0.965986868,0.602373841,-0.60495082,-1.464673641,-0.461451302,-0.316581713,-0.38498314,-0.386030685,-0.551164483,-0.747546967,-0.811173086,-1.090978139,0.028181037,-0.486204165,-0.44690212,0.482997846,-1.643240709,-0.684206917,-0.558910617,-0.630707035,-0.816357123,-0.298419316,-0.396439389,-0.557755067,-0.623574658,0.780845467,0.634542206,-0.20125112,2.44774644,0.618016,-0.457635591,-0.299940983,-0.293384409,-0.334072344,-0.369080422,-0.205891311,-0.171636676,-0.15896779,-0.146910632,7.067765292,-0.270247899,-0.220021539
1,0.526651041,0.616551403,0.508422416,0.626136163,-2.266977612,-0.485903393,1.429988161,-0.400997341,-0.373840193,0.127028767,-0.395476904,-0.47749998,-1.106471859,-0.364894791,-0.386030685,1.043886772,0.490057366,0.561774169,-0.314013114,1.17309894,2.109226962,-0.151191443,1.274927588,1.821942903,0.938241072,-0.558910617,0.609640423,0.220236441,0.409291899,0.585308785,-1.026583339,-0.134725727,1.950443886,0.403210946,0.593907701,-0.628359791,1.247860058,0.788215947,-0.299940983,-0.293384409,1.998957468,-0.369080422,-0.205891311,-0.171636676,-0.15896779,-0.146910632,-0.342082159,-0.270247899,-0.220021539
1,-1.898790511,0.866821442,0.508422416,1.819538302,0.94596018,0.148167623,-2.290186286,-0.926760496,-0.725300882,-1.506394652,-2.287796768,-0.372692563,0.006165464,-0.808355344,-0.386030685,-0.551164483,-0.747546967,-0.811173086,-0.495016088,0.68769321,-0.890043695,-1.081611047,-1.045146143,-1.643240709,-0.684206917,-0.558910617,-0.635046336,-0.816357123,-0.930184919,-0.298642964,-0.459096916,1.261037806,0.400229209,0.357762687,-0.20125112,2.44774644,0.618016,0.03019551,-0.299940983,-0.293384409,-0.334072344,-0.369080422,-0.205891311,-0.171636676,-0.15896779,-0.146910632,-0.342082159,-0.270247899,-0.220021539
1,0.526651041,-2.219008137,-1.966868432,-1.510485018,-2.250642966,1.983589996,1.922702694,1.029078445,0.863839889,2.347161186,0.941694937,0.579674225,2.685566956,-0.293791139,-0.016138565,-0.551164483,0.819962088,-0.151385513,0.406851659,-1.52158297,-1.221001131,1.218598158,-0.647453698,-1.643240709,-0.684206917,-0.558910617,-1.021925143,-1.142633627,-0.930184919,-0.749188874,3.386650779,-0.801134035,0.079472066,-1.065567358,-1.997744334,2.44774644,-1.90136023,-0.498205723,-0.299940983,-0.293384409,-0.334072344,-0.369080422,-0.205891311,-0.171636676,-0.15896779,-0.146910632,-0.342082159,-0.270247899,-0.220021539
