target,MaxEStateIndex,MinEStateIndex,MinAbsEStateIndex,qed,MolWt,MaxPartialCharge,MaxAbsPartialCharge,FpDensityMorgan1,BCUT2D_MWHI,BCUT2D_CHGHI,BalabanJ,HallKierAlpha,PEOE_VSA1,PEOE_VSA10,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA3,SlogP_VSA8,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA6,EState_VSA7,EState_VSA9,VSA_EState1,VSA_EState5,VSA_EState6,NHOHCount,NumAliphaticHeterocycles,NumAromaticHeterocycles,NumRotatableBonds,RingCount,MolLogP,fr_Al_COO,fr_Ar_NH,fr_NH1,fr_Ndealkylation1,fr_alkyl_carbamate,fr_ether,fr_methoxy,fr_sulfonamd
1,0.672995294,-1.981410804,-0.618117791,-1.841304077,2.105876269,0.121748424,0.215928364,-0.2468294,0.8422572,-0.301734144,-1.441555916,-1.942654079,0.701951055,0.988500454,-0.49763767,3.783048082,-0.911633031,1.447540192,1.392990458,-0.440614002,-0.313732335,4.244175311,0.38901137,0.496804091,2.263492732,-0.204210988,0.937773024,3.209083018,2.278893022,0.697452982,1.603476837,1.198876845,1.429180925,0.110752221,1.289518473,-0.254210831,0.623458131,0.688326799,0.9623812,-0.046940473,1.274595844,0.976657383,0.071799461,1.737276875,0.873188011,1.298006011,1.800365233,1.674208738,2.380093953,2.022226763,-0.344657911,1.954620538,1.920543272,-0.225519812,-0.266206953,0.753623699,-0.422158527,2.951996903
1,0.843874254,0.32150907,-0.628518149,-1.739179941,2.178461444,1.122194037,0.695085552,-1.062473347,-0.618175593,0.350836235,-1.485841513,-2.929234962,2.60757842,2.111730417,0.214730616,0.58599395,1.503234613,0.143679764,1.563842315,-0.440614002,-0.313732335,1.006695823,2.800939437,1.228830233,1.387520043,-0.204210988,2.78681165,1.338575195,1.738493401,2.657017909,1.036997843,0.367657813,0.451673954,1.490221688,4.360089952,-0.254210831,1.538577405,1.450542402,0.157438117,2.006219483,2.13361682,0.145407129,0.780830496,1.859689439,1.567653329,2.367877633,1.800365233,1.192320086,2.903868674,1.608655702,-0.344657911,4.226658085,2.797032819,-0.225519812,4.561012458,2.24986929,3.166188951,-0.338753743
1,0.438382835,-1.451186859,-0.375792697,0.329244087,0.032079644,2.687586289,2.094417405,-0.258659823,-0.405690641,0.876415447,-0.82575663,-0.949315792,0.332990977,-0.453381311,0.214730616,-0.616091285,1.518587025,-0.468022432,0.398113189,-0.440614002,1.316912395,-0.986853958,0.043526882,0.868571888,-0.212234772,-0.204210988,-0.361932122,-0.594658986,0.658929479,2.023564804,0.960691405,0.924869533,1.429180925,-0.29045533,0.694061045,-0.254210831,0.25832183,0.957742773,0.953811666,-0.57463613,-1.034315424,0.740301961,-0.332964343,0.894732986,0.178722692,0.22813439,0.518429779,-0.253345873,0.80876979,0.279169965,-0.344657911,-0.31741701,0.167564178,-0.225519812,-0.266206953,0.753623699,-0.422158527,-0.338753743
1,-1.327447742,1.063203742,0.463531547,0.451493467,-0.053295914,-0.34282545,-0.038756991,-0.40299098,4.265266274,-1.104797924,-0.004697864,-0.685777063,0.015593209,0.412832119,0.928783375,-0.616091285,-0.911633031,-1.079724628,-0.767615937,3.022618038,-0.313732335,-0.978884088,0.507741467,-1.095332524,0.680570553,7.730844549,0.081564388,-0.214586642,0.369820935,2.142723503,1.091850636,1.242414913,1.451363972,-1.190581857,-0.55909501,-0.254210831,-0.10408277,0.43177008,1.352243082,-0.250599935,1.265792561,-0.506528339,0.661685393,0.940515685,0.873188011,-0.841737232,0.518429779,-0.494290199,-0.238779652,0.265975248,-0.344657911,-0.31741701,0.167564178,-0.225519812,-0.266206953,0.005500903,-0.422158527,-0.338753743
1,1.170487357,-1.526279327,-0.835259608,-0.73515645,0.219090397,-0.4121596,-1.353204916,0.174333652,0.842257088,-0.56586854,-0.25288454,-0.469540157,-0.818758954,0.025095895,1.408530003,-0.616091285,-0.911633031,0.134437344,1.876845679,-0.440614002,-0.313732335,0.837277258,0.066855381,0.105864518,1.29200791,-0.204210988,0.081564388,-0.25273579,1.061077361,0.653617411,-0.364108152,0.910356844,-0.525833016,-0.306874936,1.907759704,1.757688966,-0.53500131,0.494296864,1.815555031,-0.898672324,0.236667522,1.602085443,-1.245645186,0.387831435,0.178722692,-0.841737232,1.800365233,0.22854278,0.284995069,0.634286917,-0.344657911,1.954620538,1.044053725,-0.225519812,-0.266206953,-0.742621893,-0.422158527,2.951996903
1,0.620375353,0.467284708,-0.057232794,-1.74109668,2.173556636,1.11988293,0.364650503,-1.795231535,-0.618165695,0.167704807,-1.444726864,-3.037353415,2.59446744,1.551875167,1.678144155,-0.616091285,1.503234613,0.143679764,1.563842315,-0.440614002,-0.313732335,1.274570774,3.185459302,0.899101071,0.767080562,-0.204210988,3.193212429,0.863164015,1.760926408,3.998499778,1.036997843,0.367657813,0.451673954,0.490096505,4.414071813,-0.254210831,1.127268019,0.288613271,-0.631344463,2.281770982,1.614652659,0.021012392,0.752536325,2.076903472,1.567653329,2.367877633,3.082300686,1.192320086,2.903868674,1.779937556,-0.344657911,4.226658085,2.797032819,-0.225519812,4.561012458,1.501746494,1.970073125,-0.338753743
1,0.639061782,0.293536622,-0.120084815,-1.309239625,0.911361158,0.335760871,0.623598801,-0.920700568,-0.622734678,-0.0454317,-0.646302582,-1.192582311,1.166824416,0.052801437,0.214730616,0.58599395,0.283490017,0.143679764,-0.196043338,-0.440614002,-0.313732335,-0.114343304,-0.275190577,0.261360131,-0.203634819,-0.204210988,1.049921343,0.358533825,1.715387806,0.020164307,1.736579251,-0.165630761,0.451673954,0.787030098,-0.55909501,-0.254210831,1.199240916,0.721058067,-0.716525459,4.088310474,-0.515351263,-0.529029569,0.128695342,2.123048443,1.567653329,0.22813439,-0.763505675,2.156097391,0.284995069,0.092572974,-0.344657911,-0.31741701,1.920543272,-0.225519812,-0.266206953,0.005500903,-0.422158527,-0.338753743
1,-0.85067004,0.556723751,0.16720191,-0.361039184,0.043035709,-1.041442704,0.761856975,-1.124646773,-0.620512406,-0.01123576,0.123622256,-0.206001427,0.638077884,-0.9463765,-0.49763767,-0.616091285,-0.911633031,-1.079724628,-0.767615937,0.448678527,-0.313732335,-0.923749214,1.680643223,-0.106145038,-1.219145489,3.763316781,-0.369412935,2.272924882,-0.182674804,2.766980567,1.507659936,-0.698919335,3.384194865,-0.147073402,-0.55909501,-0.254210831,-0.902507218,-0.536074166,0.829505094,0.52088076,1.041541219,0.140624115,1.314281276,0.935987249,-1.210207945,-0.841737232,-0.763505675,1.674208738,-0.762554373,0.433328088,-0.344657911,-0.31741701,-0.708925369,1.234989449,-0.266206953,2.24986929,4.362304777,-0.338753743
1,0.057348616,0.212040941,-0.168358465,0.217097012,-0.424386498,0.616783742,0.522297792,-0.784025238,0.842257022,-0.216582984,0.241143355,0.185927965,-0.472011534,-0.459173247,-0.49763767,-0.616091285,0.271241928,-0.468022432,-0.196043338,-0.440614002,-0.313732335,-0.306094937,-0.700599495,-0.098115726,0.109803153,-0.204210988,-0.805428631,-0.947097336,0.424921144,0.020164307,-0.362164971,-0.698919335,0.451673954,-0.350242676,-0.55909501,-0.254210831,-0.496135823,0.111752435,3.968075576,-0.898672324,1.274595844,-0.3153153,0.122221406,0.779920631,-1.210207945,-0.841737232,-0.763505675,-0.012401546,-0.762554373,0.249314803,-0.344657911,-0.31741701,-0.708925369,-0.225519812,-0.266206953,0.753623699,-0.422158527,-0.338753743
1,0.94641898,0.559985875,-0.762464747,0.773137717,-0.057353346,-0.068013267,-1.446158646,-0.40299098,-0.41785852,-0.057234078,-0.92113876,-0.638475239,-0.446827022,-0.453435708,0.214730616,1.717280443,-0.911633031,0.755381959,0.363610613,0.421095061,-0.313732335,1.478709034,0.041501436,-0.451960844,0.0661745,-0.204210988,0.974009393,0.78825332,0.806575755,-0.657124366,-0.253953314,-0.210580609,-0.525833016,-0.201775879,0.640079184,-0.254210831,0.658976386,1.468506904,1.199020159,-0.33085109,-1.034315424,-0.159108481,-0.09370622,0.548359194,-0.515742626,0.22813439,0.518429779,-0.494290199,0.80876979,-0.78978026,-0.344657911,1.954620538,0.167564178,-0.225519812,-0.266206953,-0.742621893,-0.422158527,-0.338753743
