target,acid_group,base_group,MaxEStateIndex,NumRadicalElectrons,BCUT2D_MWLOW,BCUT2D_CHGLO,HallKierAlpha,PEOE_VSA11,PEOE_VSA13,PEOE_VSA6,PEOE_VSA7,SMR_VSA4,SMR_VSA7,SMR_VSA9,SlogP_VSA4,SlogP_VSA5,SlogP_VSA7,SlogP_VSA8,EState_VSA5,EState_VSA6,EState_VSA8,VSA_EState10,VSA_EState6,VSA_EState8,NumAliphaticCarbocycles,MolLogP,fr_Al_COO,fr_Ar_COO,fr_Ar_NH,fr_Ndealkylation1,fr_allylic_oxid,fr_aryl_methyl,fr_bicyclic,fr_guanido,fr_imidazole,fr_ketone,fr_lactam,fr_oxime,fr_para_hydroxylation,fr_phos_acid,fr_priamide,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_tetrazole,fr_thiazole,fr_unbrch_alkane,fr_urea
1,0.480384461,0.611745968,0.581663674,-0.137672629,-0.151026838,0.02248871,0.082516597,-0.113647744,0.613733331,-0.690914108,0.550660711,-0.656933693,0.417017141,-0.388935704,0.361148729,0.422670193,-0.273438794,1.213746016,-0.28425564,-0.181021085,-0.276281514,-0.428018196,-0.023103648,0.209976418,-0.472443499,0.424290221,-0.386564919,-0.153292839,-0.252690013,-0.408534479,-0.258318095,0.939002369,0.282192445,-0.214103731,-0.250488788,-0.373884683,-0.277350098,-0.151099471,-0.337295422,-0.118760796,-0.254981332,-0.268298431,-0.230574407,-0.260693091,-0.179605302,-0.165900379,-0.174477592,-0.259778964,-0.231187647
1,0.480384461,0.611745968,0.562798487,-0.137672629,-1.658869751,-1.322909695,-0.123552621,0.326685306,0.679473452,-0.460024625,-0.275805191,0.612621998,0.286369362,0.068785972,0.289581055,-0.439280353,-0.273438794,-0.448472241,1.199040148,-0.711773851,-0.867164881,-0.428018196,-0.293728118,-0.192270249,2.037295877,-0.329756517,-0.386564919,-0.153292839,-0.252690013,1.129477678,-0.258318095,-0.280339838,0.743587391,-0.214103731,-0.250488788,2.976122077,-0.277350098,-0.151099471,-0.337295422,-0.118760796,1.104919107,-0.268298431,-0.230574407,-0.260693091,-0.179605302,-0.165900379,-0.174477592,-0.259778964,-0.231187647
1,0.480384461,0.611745968,-0.832846654,-0.137672629,0.658325194,-0.062398972,0.094819237,0.345769531,-0.436721958,-0.861586015,-0.122129394,-0.656933693,-1.031198076,-0.388935704,-0.646247627,-0.08017521,-0.273438794,1.223468023,-0.251380538,-0.222631277,-0.482169004,-0.428018196,-0.629659437,0.132192246,-0.472443499,-0.116004286,-0.386564919,-0.153292839,-0.252690013,-0.408534479,-0.258318095,-0.280339838,-0.179202502,-0.214103731,-0.250488788,-0.373884683,-0.277350098,-0.151099471,-0.337295422,-0.118760796,-0.254981332,-0.268298431,-0.230574407,-0.260693091,-0.179605302,-0.165900379,-0.174477592,-0.259778964,-0.231187647
1,0.480384461,-1.634665454,-0.934400031,3.974149898,-0.005250498,-0.015108121,1.149850495,-0.537414593,-0.436721958,-0.861586015,-1.129671776,-0.656933693,-1.031198076,-0.388935704,-0.646247627,-0.962491466,-0.273438794,-0.448472241,-0.419002249,-0.711773851,-0.091653746,0.236811097,-0.629659437,-0.361728999,-0.472443499,-0.464894653,-0.386564919,-0.153292839,-0.252690013,-0.408534479,-0.258318095,-0.280339838,-0.640597448,-0.214103731,-0.250488788,-0.373884683,-0.277350098,-0.151099471,-0.337295422,-0.118760796,-0.254981332,-0.268298431,-0.230574407,-0.260693091,-0.179605302,-0.165900379,-0.174477592,-0.259778964,-0.231187647
1,0.480384461,-1.634665454,-0.025327395,-0.137672629,-1.924996126,-1.472297968,0.682270292,-0.098450121,-0.436721958,-0.21881625,0.952249877,1.408500157,-0.735980784,-0.388935704,1.613795472,0.531071651,-0.273438794,-0.448472241,0.602588889,-0.711773851,-0.323152762,-0.428018196,-0.629659437,0.1721938,2.873875669,0.563400033,-0.386564919,-0.153292839,-0.252690013,-0.408534479,0.592612101,-0.280339838,1.666377285,-0.214103731,-0.250488788,1.301118697,-0.277350098,-0.151099471,-0.337295422,-0.118760796,-0.254981332,-0.268298431,-0.230574407,-0.260693091,-0.179605302,-0.165900379,-0.174477592,-0.259778964,-0.231187647
1,0.480384461,-1.634665454,-0.349561399,-0.137672629,2.799163037,1.167259169,0.706875572,-0.537414593,-0.436721958,-0.861586015,-1.129671776,-0.274980147,-0.906841048,-0.388935704,-0.258257993,-0.962491466,-0.273438794,-0.448472241,-0.846901631,-0.711773851,-0.450628073,2.93140619,-0.706131968,-0.281178594,-0.472443499,0.088786392,-0.386564919,-0.153292839,-0.252690013,-0.408534479,-0.258318095,-0.280339838,-0.640597448,-0.214103731,-0.250488788,-0.373884683,-0.277350098,-0.151099471,-0.337295422,-0.118760796,-0.254981332,-0.268298431,-0.230574407,-0.260693091,-0.179605302,-0.165900379,-0.174477592,-0.259778964,3.340262896
1,0.480384461,0.611745968,0.285871382,-0.137672629,-0.504884463,-0.770356495,-0.18199016,0.379273962,-0.436721958,2.412131328,-0.263747625,1.040244869,1.124538736,-0.388935704,0.757495396,0.848213093,-0.273438794,-0.448472241,-0.244048123,3.315425907,-0.867164881,-0.428018196,-0.781698953,0.377602525,-0.472443499,0.011148653,0.544516176,-0.153292839,-0.252690013,-0.408534479,9.952844254,-0.280339838,0.282192445,-0.214103731,-0.250488788,-0.373884683,-0.277350098,-0.151099471,-0.337295422,-0.118760796,-0.254981332,-0.268298431,-0.230574407,-0.260693091,-0.179605302,-0.165900379,-0.174477592,-0.259778964,-0.231187647
1,0.480384461,0.611745968,0.315833785,-0.137672629,0.200826632,-0.170448653,0.460822774,-0.537414593,-0.436721958,0.394937852,0.369584231,-0.656933693,-0.288005449,-0.388935704,0.448638268,0.186176424,-0.273438794,-0.448472241,0.046380009,-0.711773851,0.826873489,-0.428018196,0.189974633,0.55129436,-0.472443499,0.56642325,-0.386564919,-0.153292839,-0.252690013,-0.408534479,-0.258318095,2.158344575,-0.640597448,-0.214103731,-0.250488788,-0.373884683,-0.277350098,-0.151099471,2.099936015,-0.118760796,-0.254981332,-0.268298431,-0.230574407,-0.260693091,-0.179605302,-0.165900379,-0.174477592,-0.259778964,-0.231187647
1,0.480384461,0.611745968,0.668928904,-0.137672629,-0.93690022,-0.585541755,-0.15430922,0.817944978,-0.436721958,-0.460024625,-0.608865135,-0.242623744,0.275960388,0.984229324,-0.646247627,0.772665741,-0.273438794,-0.448472241,0.647861479,-0.366186399,-0.867164881,-0.428018196,-0.133409022,-0.03299158,1.200716085,0.066452248,-0.386564919,-0.153292839,-0.252690013,-0.408534479,-0.258318095,-0.280339838,0.743587391,-0.214103731,-0.250488788,4.651125457,-0.277350098,-0.151099471,-0.337295422,-0.118760796,-0.254981332,-0.268298431,-0.230574407,-0.260693091,-0.179605302,-0.165900379,-0.174477592,-0.259778964,-0.231187647
1,0.480384461,0.611745968,0.673927122,-0.137672629,-0.942695243,-0.591268915,-0.16661186,0.817944978,-0.436721958,-0.460024625,-0.789941615,-0.242623744,0.275960388,0.984229324,-0.646247627,0.61409502,-0.273438794,-0.448472241,0.326778618,-0.366186399,-0.867164881,-0.428018196,-0.148292184,-0.264260447,1.200716085,-0.112709084,-0.386564919,-0.153292839,-0.252690013,-0.408534479,-0.258318095,-0.280339838,0.743587391,-0.214103731,-0.250488788,4.651125457,-0.277350098,-0.151099471,-0.337295422,-0.118760796,-0.254981332,-0.268298431,-0.230574407,-0.260693091,-0.179605302,-0.165900379,-0.174477592,-0.259778964,-0.231187647
