target,acid_group,base_group,MaxAbsPartialCharge,FpDensityMorgan1,PEOE_VSA4,PEOE_VSA6,SMR_VSA7,EState_VSA6,EState_VSA7,VSA_EState6,VSA_EState8,VSA_EState9,NumAromaticHeterocycles,MolLogP,fr_Al_COO,fr_NH2,fr_benzodiazepine,fr_ketone,fr_piperdine
1,0.495260557,-1.201850425,0.345009499,0.212961215,-0.356181449,0.617469047,1.224915316,0.528644856,0.448570212,0.101252324,1.084287914,-0.275936508,-0.531433958,1.657416377,-0.316227766,-0.43037564,-0.176776695,-0.577683516,-0.380142961
1,0.495260557,0.832050294,0.336010001,0.246714566,-0.356181449,-0.324186521,0.397221241,0.008869818,-0.802018481,-0.041034155,-0.397993347,-0.275936508,-0.531433958,-0.482118991,-0.316227766,1.064613425,-0.176776695,2.786473431,-0.380142961
1,-2.019139192,0.832050294,0.2004382,0.04147241,-0.356181449,0.315292046,0.487911258,-0.868849558,1.584210894,0.848247334,0.926326728,-0.275936508,0.871551691,1.684481023,-0.316227766,-0.43037564,-0.176776695,0.543702133,-0.380142961
1,0.495260557,-1.201850425,-1.108578706,-0.242709038,-0.356181449,0.069026796,-0.3124604,0.847099702,-0.802018481,0.32146059,-0.593194823,-0.275936508,-0.531433958,-0.599277047,-0.316227766,-0.43037564,-0.176776695,-0.577683516,-0.380142961
1,0.495260557,-1.201850425,-0.674428595,0.462060952,-0.356181449,-0.261259338,-1.103557034,-0.549950104,-0.403680742,-0.806835687,0.628961772,-0.275936508,-0.531433958,0.640056689,-0.316227766,-0.43037564,-0.176776695,1.665087782,-0.380142961
1,-2.019139192,-1.201850425,-1.420551315,-1.177063191,-0.356181449,2.227285039,0.414890049,0.008869818,-0.006608689,0.21078168,1.545040414,-0.275936508,-0.531433958,2.498031839,-0.316227766,-0.43037564,-0.176776695,1.665087782,-0.380142961
1,0.495260557,-1.201850425,0.344942718,0.418012828,-0.356181449,-0.665494272,-0.526801018,-0.868849558,-0.006608689,0.037365005,-0.486861613,-0.275936508,-0.531433958,0.46602259,-0.316227766,-0.43037564,-0.176776695,-0.577683516,-0.380142961
1,0.495260557,-1.201850425,0.294505774,-0.76709147,-0.356181449,-1.058707589,-0.147346725,0.56768974,-0.802018481,0.175104854,-0.558213563,0.962391878,-0.531433958,-0.365546908,-0.316227766,-0.43037564,-0.176776695,-0.577683516,-0.380142961
1,0.495260557,0.832050294,0.228565226,-0.242709038,-0.356181449,0.010878956,0.213225236,-0.868849558,1.186505998,0.865353308,0.136076746,-0.275936508,-0.531433958,0.92385093,-0.316227766,-0.43037564,-0.176776695,-0.577683516,-0.380142961
1,-2.019139192,-1.201850425,-0.027387088,-0.242709038,-0.356181449,0.30659635,-1.103557034,-0.868849558,-0.403680742,-0.806835687,-0.018463284,-0.275936508,-0.531433958,1.488289805,-0.316227766,-0.43037564,-0.176776695,0.543702133,-0.380142961
1,0.495260557,0.832050294,0.251325812,-0.389536117,-0.356181449,0.279194245,0.830789539,-0.589439597,2.493303012,0.607009704,0.585813033,1.495332979,0.871551691,0.43243899,-0.316227766,-0.43037564,-0.176776695,-0.577683516,1.292486066
