target,acid_group,acid_pka,base_group,MinEStateIndex,qed,MaxPartialCharge,MinAbsPartialCharge,BCUT2D_MWLOW,BCUT2D_CHGLO,PEOE_VSA13,PEOE_VSA14,PEOE_VSA3,PEOE_VSA4,PEOE_VSA7,SlogP_VSA8,EState_VSA4,EState_VSA8,VSA_EState5,VSA_EState6,VSA_EState8,VSA_EState9,NumAliphaticCarbocycles,NumAromaticCarbocycles,MolLogP,fr_Ndealkylation1,fr_Ndealkylation2,fr_lactam,fr_lactone,fr_piperdine
1,0.477803118,0.065520705,-1.738117554,-0.503146247,-1.063863623,3.252286453,1.680131984,-0.066257621,-0.050658463,-0.424660713,0.791973081,-0.436257027,-0.329564207,-1.086464612,-0.456546637,-0.891055065,-0.86991259,-0.136949861,-0.602564147,-0.444344499,-0.076314713,-0.440078758,-0.828710047,-1.715111181,-0.434097799,-0.354801638,-0.302371578,-0.166346092,-0.271260047
1,0.477803118,0.153136491,0.575335079,-0.083202748,-1.401946453,-0.10452248,0.168844479,0.226041753,-0.010293065,1.748420083,0.041292008,0.348909314,-0.329564207,0.403852217,-0.456546637,-0.336646149,2.569105546,-0.847287244,-2.744460936,-0.302243476,-0.076314713,-0.440078758,-0.828710047,-2.607229929,-0.434097799,-0.354801638,-0.302371578,-0.166346092,-0.271260047
1,0.477803118,-1.556494606,-1.738117554,0.032655875,0.275707726,-0.081243351,0.24509965,-0.094984105,-0.712890914,-0.424660713,0.037677815,-0.043673856,-0.329564207,-0.592284068,-0.456546637,-0.891055065,-0.666154875,-0.264913398,0.198138053,0.066161358,-0.076314713,-0.440078758,-0.021140562,0.02154643,-0.434097799,-0.354801638,3.307189139,-0.166346092,-0.271260047
1,0.477803118,0.101465643,0.575335079,-0.484355422,-1.423196704,-0.2392355,-0.272433392,-0.221556007,-0.220599423,-0.424660713,-0.311367483,-0.436257027,-0.329564207,0.662147838,-0.456546637,1.579144639,1.148658318,-0.399982618,-1.441797052,0.389379537,-0.076314713,-0.440078758,-0.021140562,-0.605326416,-0.434097799,-0.354801638,-0.302371578,-0.166346092,-0.271260047
1,0.477803118,-1.500330641,0.575335079,0.202482676,-0.089127685,-0.031897895,0.406739987,0.273081456,-1.033554036,0.661879685,-0.136844834,0.339678482,-0.329564207,-0.502854996,-0.456546637,-0.473131457,0.319632322,0.155556465,-0.704798971,-0.10489087,-0.076314713,-0.440078758,-0.828710047,-0.163719714,-0.434097799,-0.354801638,3.307189139,-0.166346092,-0.271260047
1,0.477803118,-0.017601963,0.575335079,0.075946667,-0.809946967,-0.183955565,-0.091353553,0.211308818,-1.132786465,1.748420083,-0.311367483,-0.028162144,-0.329564207,-1.086464612,-0.456546637,0.975661063,-0.007475713,0.06327258,-0.719417762,-0.025108332,0.579356375,-0.440078758,-0.828710047,-0.269973209,1.311432299,1.83123426,3.307189139,-0.166346092,-0.271260047
1,0.477803118,-1.493590965,0.575335079,-0.190490195,-1.41050043,-0.036548291,0.39150674,0.20376806,-1.145136199,2.834960481,-0.136844834,0.364421027,-0.329564207,-0.425037452,-0.456546637,0.680290103,-0.073809146,-0.342225017,-0.432536582,0.19466871,-0.076314713,-0.440078758,-0.021140562,-0.088730644,-0.434097799,1.83123426,3.307189139,-0.166346092,-0.271260047
1,0.477803118,-1.54975493,0.575335079,0.167506835,-0.959277281,-0.031897887,0.406740013,0.252795154,-1.031861647,1.748420083,-0.136844834,0.747773365,-0.329564207,-0.67912563,-0.456546637,-0.384179186,0.317422118,0.093880625,-0.723786222,-0.274237492,0.493491083,-0.440078758,-0.828710047,-0.202291934,-0.434097799,-0.354801638,3.307189139,-0.166346092,-0.271260047
1,0.477803118,-1.522796227,0.575335079,-0.090129127,-0.850674476,-0.031891334,0.406761479,0.070926158,-1.393444869,1.714908102,-0.136844834,0.339678482,0.237438243,-0.67912563,-0.456546637,-0.146094199,-0.071165896,0.11059301,-0.35123678,-0.274237492,0.495112591,-0.440078758,-0.828710047,-0.178942637,-0.434097799,-0.354801638,3.307189139,-0.166346092,-0.271260047
1,0.477803118,-1.772164232,0.575335079,-1.787998727,-0.958995786,-0.031897887,0.406740013,0.21930774,-1.041596355,3.60950339,-0.136844834,0.339678482,0.577507226,-0.537486355,-0.456546637,0.06323259,-0.071165896,-0.077189523,0.3377416,-0.274237492,-0.926409423,-0.440078758,-0.021140562,-0.210131145,-0.434097799,-0.354801638,3.307189139,-0.166346092,-0.271260047
1,0.477803118,-1.491344406,0.575335079,0.040830659,-1.061861934,-0.031897887,0.406740013,0.176416452,-1.048872803,0.661879685,0.38489752,0.732261653,-0.329564207,-0.052329828,-0.456546637,-0.671976564,0.13259182,-0.169831475,-0.361160397,-0.072956845,0.24118292,-0.440078758,-0.021140562,-0.24226366,1.311432299,-0.354801638,3.307189139,-0.166346092,-0.271260047
1,0.477803118,-1.54975493,0.575335079,0.105171499,-0.825235585,-0.03169369,0.407408899,0.241031308,-1.025752426,1.748420083,0.037677815,0.364421027,-0.329564207,-1.086464612,-0.456546637,-0.165100685,-0.092173747,-0.034346686,-0.729479231,-0.178174623,0.166130657,-0.440078758,-0.828710047,-0.161478524,-0.434097799,-0.354801638,3.307189139,-0.166346092,-0.271260047
1,0.477803118,-1.724986501,0.575335079,-0.197013804,-1.353405591,-0.031891334,0.406761479,0.070220583,-1.411369262,2.8014485,0.037677815,0.732261653,-0.329564207,-0.67912563,-0.456546637,0.379788167,-0.071165896,-0.236621552,-0.602564147,-0.274237492,0.476035247,-0.440078758,-0.828710047,-0.289381445,-0.434097799,-0.354801638,3.307189139,-0.166346092,-0.271260047
1,0.477803118,-1.504823758,0.575335079,0.192816266,-0.613945614,-0.031897887,0.406740013,0.260644977,-1.034899261,0.661879685,-0.136844834,0.747773365,-0.329564207,-0.320273879,-0.456546637,-0.598434282,0.119837387,0.149729915,-0.705160715,-0.140701915,0.677193263,-0.440078758,-0.828710047,-0.16654513,1.311432299,-0.354801638,3.307189139,-0.166346092,-0.271260047
1,0.477803118,-1.520549668,0.575335079,-0.102357749,-0.071994889,0.072054957,0.747257134,0.050404477,-1.389333175,1.714908102,0.041301256,0.348909314,-0.329564207,-0.795051263,-0.456546637,-0.453915793,-0.484621915,0.036660356,-0.129294566,-0.307947221,0.17002015,-0.440078758,-0.828710047,-0.042471045,-0.434097799,-0.354801638,3.307189139,-0.166346092,-0.271260047
1,0.477803118,-1.455399469,0.575335079,0.102629939,-0.993137237,-0.031897887,0.406740013,0.163818773,-1.04789384,1.748420083,-0.136844834,0.339678482,-0.329564207,-0.052329828,-0.456546637,-0.671976564,0.323595102,-0.06655066,-0.018705462,-0.112881579,0.243216315,-0.440078758,-0.021140562,-0.004823027,-0.434097799,-0.354801638,3.307189139,-0.166346092,-0.271260047
1,0.477803118,-1.540768696,0.575335079,0.192153238,-0.301370192,-0.032540417,0.404635284,0.334345338,-0.958461709,1.748420083,-0.136844834,0.364421027,-0.329564207,-0.931775911,-0.456546637,-0.165100685,-0.092173747,0.081258931,-0.713879639,-0.274237492,0.170607604,-0.440078758,-0.828710047,-0.150470621,-0.434097799,-0.354801638,3.307189139,-0.166346092,-0.271260047
1,0.477803118,-1.54975493,0.575335079,-0.205426861,-1.417260612,-0.036548271,0.391506805,0.233996175,-1.087829585,1.748420083,0.039484911,0.348909314,0.678768227,-0.733923344,-0.456546637,-0.156350764,0.297557737,-0.211857667,-0.828193114,0.007448162,0.232669057,-0.440078758,-0.828710047,-0.702928722,-0.434097799,-0.354801638,3.307189139,-0.166346092,-0.271260047
